"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005216","ion channel activity","25/177","106/2693",6.62632271331003e-09,5.51508494641648e-07,4.56511816138781e-07,"Mid1/Shawl/tty/jp/SLO2/slo/nAChRalpha3/Nckx30C/Itp-r83A/CG42594/CG42340/nAChRalpha1/CG3638/pHCl-1/Ork1/CG10353/na/Ca-alpha1T/para/olf186-F/Ca-alpha1D/nAChRalpha5/Hk/Cngl/CG34396",25
"GO:0022838","substrate-specific channel activity","25/177","106/2693",6.62632271331003e-09,5.51508494641648e-07,4.56511816138781e-07,"Mid1/Shawl/tty/jp/SLO2/slo/nAChRalpha3/Nckx30C/Itp-r83A/CG42594/CG42340/nAChRalpha1/CG3638/pHCl-1/Ork1/CG10353/na/Ca-alpha1T/para/olf186-F/Ca-alpha1D/nAChRalpha5/Hk/Cngl/CG34396",25
"GO:0015267","channel activity","25/177","108/2693",1.00274271753027e-08,5.51508494641648e-07,4.56511816138781e-07,"Mid1/Shawl/tty/jp/SLO2/slo/nAChRalpha3/Nckx30C/Itp-r83A/CG42594/CG42340/nAChRalpha1/CG3638/pHCl-1/Ork1/CG10353/na/Ca-alpha1T/para/olf186-F/Ca-alpha1D/nAChRalpha5/Hk/Cngl/CG34396",25
"GO:0022803","passive transmembrane transporter activity","25/177","108/2693",1.00274271753027e-08,5.51508494641648e-07,4.56511816138781e-07,"Mid1/Shawl/tty/jp/SLO2/slo/nAChRalpha3/Nckx30C/Itp-r83A/CG42594/CG42340/nAChRalpha1/CG3638/pHCl-1/Ork1/CG10353/na/Ca-alpha1T/para/olf186-F/Ca-alpha1D/nAChRalpha5/Hk/Cngl/CG34396",25
"GO:0005261","cation channel activity","21/177","87/2693",7.83229177473597e-08,3.44620838088383e-06,2.85260310953542e-06,"Mid1/Shawl/jp/SLO2/slo/nAChRalpha3/Nckx30C/Itp-r83A/CG42594/CG42340/nAChRalpha1/Ork1/na/Ca-alpha1T/para/olf186-F/Ca-alpha1D/nAChRalpha5/Hk/Cngl/CG34396",21
"GO:0022890","inorganic cation transmembrane transporter activity","24/177","140/2693",7.46881715475484e-06,0.0002552300672376,0.000211266993455047,"Mid1/Shawl/jp/Vmat/SLO2/slo/nAChRalpha3/Nckx30C/Itp-r83A/CG42594/CG42340/nAChRalpha1/Ork1/GlyT/na/Ca-alpha1T/para/olf186-F/Ca-alpha1D/nAChRalpha5/Hk/Cngl/SPoCk/CG34396",24
"GO:0022839","ion gated channel activity","17/177","79/2693",8.12095668483272e-06,0.0002552300672376,0.000211266993455047,"Mid1/Shawl/tty/jp/SLO2/slo/nAChRalpha3/Itp-r83A/nAChRalpha1/CG3638/pHCl-1/CG10353/Ca-alpha1T/Ca-alpha1D/nAChRalpha5/Hk/Cngl",17
"GO:0022836","gated channel activity","17/177","81/2693",1.16085111552893e-05,0.000319234056770456,0.000264246372350665,"Mid1/Shawl/tty/jp/SLO2/slo/nAChRalpha3/Itp-r83A/nAChRalpha1/CG3638/pHCl-1/CG10353/Ca-alpha1T/Ca-alpha1D/nAChRalpha5/Hk/Cngl",17
"GO:0003779","actin binding","11/177","37/2693",1.37928835776186e-05,0.000337159376341787,0.000279084077067604,"futsch/Dys/Spn/ena/d/kel/Svil/rhea/f/CG8726/jub",11
"GO:0008324","cation transmembrane transporter activity","24/177","148/2693",2.0051775368489e-05,0.000441139058106759,0.000365153383026169,"Mid1/Shawl/jp/Vmat/SLO2/slo/nAChRalpha3/Nckx30C/Itp-r83A/CG42594/CG42340/nAChRalpha1/Ork1/GlyT/na/Ca-alpha1T/para/olf186-F/Ca-alpha1D/nAChRalpha5/Hk/Cngl/SPoCk/CG34396",24
