"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007610","behavior","8/29","189/2428",0.00119852078596474,0.495789856810696,0.487269300732316,"Rh7/Lkr/dlg1/Hmgcr/Galphaq/Ent2/mtt/Ide",8
"GO:0009628","response to abiotic stimulus","6/29","119/2428",0.0022935967799127,0.495789856810696,0.487269300732316,"Rh7/Hsp70Bb/dlg1/Galphaq/Vhl/hep",6
"GO:2000241","regulation of reproductive process","3/29","28/2428",0.00410800994674322,0.495789856810696,0.487269300732316,"dlg1/Ide/hep",3
"GO:0071241","cellular response to inorganic substance","2/29","10/2428",0.00584296071623471,0.495789856810696,0.487269300732316,"Galphaq/hep",2
"GO:0009266","response to temperature stimulus","3/29","33/2428",0.00657265477993602,0.495789856810696,0.487269300732316,"Hsp70Bb/Galphaq/hep",3
"GO:0046483","heterocycle metabolic process","7/29","198/2428",0.00714434510706615,0.495789856810696,0.487269300732316,"bw/dlg1/CG11447/Hmgcr/Mthfs/Drep3/hep",7
"GO:0022411","cellular component disassembly","3/29","35/2428",0.00775914793344557,0.495789856810696,0.487269300732316,"Drep3/Vhl/hep",3
"GO:0001666","response to hypoxia","2/29","13/2428",0.00990530645639523,0.495789856810696,0.487269300732316,"Hsp70Bb/Vhl",2
"GO:0016334","establishment or maintenance of polarity of follicular epithelium","2/29","13/2428",0.00990530645639523,0.495789856810696,0.487269300732316,"dlg1/Vhl",2
"GO:0000278","mitotic cell cycle","4/29","73/2428",0.0101094453123519,0.495789856810696,0.487269300732316,"dlg1/sti/Vhl/mtm",4
"GO:0030856","regulation of epithelial cell differentiation","2/29","14/2428",0.0114710511216186,0.495789856810696,0.487269300732316,"dlg1/hep",2
"GO:0009408","response to heat","2/29","15/2428",0.0131383780995817,0.495789856810696,0.487269300732316,"Hsp70Bb/hep",2
"GO:0070887","cellular response to chemical stimulus","5/29","123/2428",0.0137078969178502,0.495789856810696,0.487269300732316,"Hsp70Bb/Hmgcr/Galphaq/Vhl/hep",5
"GO:0016056","rhodopsin mediated signaling pathway","2/29","16/2428",0.0149048108904555,0.495789856810696,0.487269300732316,"Rh7/Galphaq",2
