"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043235","receptor complex","4/34","51/2522",0.00439792548096682,0.273078553132555,0.256144552182699,"nAChRalpha1/GluRIA/Nmdar2/PlexB",4
"GO:0098802","plasma membrane receptor complex","3/34","34/2522",0.010073649528974,0.273078553132555,0.256144552182699,"nAChRalpha1/GluRIA/Nmdar2",3
"GO:0031226","intrinsic component of plasma membrane","9/34","289/2522",0.0117515394645187,0.273078553132555,0.256144552182699,"nAChRalpha1/Prestin/GluRIA/Nmdar2/dlp/smog/TkR99D/PlexB/twit",9
"GO:0008328","ionotropic glutamate receptor complex","2/34","13/2522",0.0125404825087893,0.273078553132555,0.256144552182699,"GluRIA/Nmdar2",2
"GO:0098878","neurotransmitter receptor complex","2/34","15/2522",0.0165993716657341,0.273078553132555,0.256144552182699,"GluRIA/Nmdar2",2
"GO:0005774","vacuolar membrane","2/34","18/2522",0.0235852426958837,0.273078553132555,0.256144552182699,"CG5608/Iml1",2
"GO:0032991","protein-containing complex","12/34","497/2522",0.0238228457386518,0.273078553132555,0.256144552182699,"nAChRalpha1/GluRIA/Nmdar2/Blos2/Uba4/mRpL47/PlexB/CG5608/Iml1/Pp2B-14D/Kap3/Atg12",12
"GO:0044459","plasma membrane part","11/34","442/2522",0.0255238697475639,0.273078553132555,0.256144552182699,"CG11155/nAChRalpha1/Prestin/GluRIA/Nmdar2/dlp/lap/smog/TkR99D/PlexB/twit",11
"GO:0044437","vacuolar part","2/34","19/2522",0.0261396599990729,0.273078553132555,0.256144552182699,"CG5608/Iml1",2
"GO:0097060","synaptic membrane","3/34","49/2522",0.0270374805081738,0.273078553132555,0.256144552182699,"CG11155/nAChRalpha1/lap",3
"GO:0034702","ion channel complex","3/34","62/2522",0.0493098689098001,0.452754250899074,0.424678296830815,"nAChRalpha1/GluRIA/Nmdar2",3
"GO:1902495","transmembrane transporter complex","3/34","69/2522",0.0641141555631979,0.498117670144845,0.467228664023305,"nAChRalpha1/GluRIA/Nmdar2",3
"GO:1990351","transporter complex","3/34","69/2522",0.0641141555631979,0.498117670144845,0.467228664023305,"nAChRalpha1/GluRIA/Nmdar2",3
"GO:0005887","integral component of plasma membrane","7/34","281/2522",0.0761739669149693,0.535983198706965,0.50274609571263,"nAChRalpha1/Prestin/GluRIA/Nmdar2/smog/TkR99D/PlexB",7
"GO:0045211","postsynaptic membrane","2/34","35/2522",0.0796014651544997,0.535983198706965,0.50274609571263,"CG11155/nAChRalpha1",2
"GO:0005773","vacuole","2/34","43/2522",0.113096425084328,0.563388644185554,0.528452089387179,"CG5608/Iml1",2
"GO:0019898","extrinsic component of membrane","2/34","43/2522",0.113096425084328,0.563388644185554,0.528452089387179,"lap/CG5608",2
"GO:0098805","whole membrane","3/34","88/2522",0.113168744553193,0.563388644185554,0.528452089387179,"CG5608/Iml1/Atg12",3
"GO:0098794","postsynapse","2/34","46/2522",0.126477944015459,0.563388644185554,0.528452089387179,"CG11155/nAChRalpha1",2
"GO:0005871","kinesin complex","1/34","10/2522",0.127135615899259,0.563388644185554,0.528452089387179,"Kap3",1
"GO:0005892","acetylcholine-gated channel complex","1/34","10/2522",0.127135615899259,0.563388644185554,0.528452089387179,"nAChRalpha1",1
"GO:0098595","perivitelline space","1/34","10/2522",0.127135615899259,0.563388644185554,0.528452089387179,"dlp",1
"GO:0005765","lysosomal membrane","1/34","11/2522",0.138949863136292,0.563388644185554,0.528452089387179,"Iml1",1
"GO:0098852","lytic vacuole membrane","1/34","11/2522",0.138949863136292,0.563388644185554,0.528452089387179,"Iml1",1
"GO:0044430","cytoskeletal part","3/34","100/2522",0.149806350036967,0.563388644185554,0.528452089387179,"Blos2/Root/Kap3",3
