"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032991","protein-containing complex","21/59","497/2522",0.00287153012022839,0.447958698755629,0.447958698755629,"RpS15Ab/Gyc89Db/mRpS35/AP-1-2beta/Rchy1/PlexB/temp/FAM21/Rint1/CG5037/Bet5/Vps37B/babo/Wdr59/Fbw5/SWIP/mRpL32/CG4733/Nnf1a/KCNQ/Ca-Ma2d",21
"GO:0005694","chromosome","3/59","21/2522",0.0119895253482222,0.723633145359439,0.723633145359439,"cbs/Nnf1a/Dsor1",3
"GO:0031967","organelle envelope","4/59","51/2522",0.0298036074457512,0.723633145359439,0.723633145359439,"CG5037/Tpc1/CG4743/Dsor1",4
"GO:0031975","envelope","4/59","51/2522",0.0298036074457512,0.723633145359439,0.723633145359439,"CG5037/Tpc1/CG4743/Dsor1",4
"GO:0044427","chromosomal part","2/59","17/2522",0.0584351512716981,0.723633145359439,0.723633145359439,"cbs/Nnf1a",2
"GO:0044391","ribosomal subunit","3/59","41/2522",0.0692301640369706,0.723633145359439,0.723633145359439,"RpS15Ab/mRpS35/mRpL32",3
"GO:0015935","small ribosomal subunit","2/59","19/2522",0.0713312155074499,0.723633145359439,0.723633145359439,"RpS15Ab/mRpS35",2
"GO:0031966","mitochondrial membrane","3/59","42/2522",0.0733561601247985,0.723633145359439,0.723633145359439,"CG5037/Tpc1/CG4743",3
"GO:0005840","ribosome","3/59","43/2522",0.0775906299807419,0.723633145359439,0.723633145359439,"RpS15Ab/mRpS35/mRpL32",3
"GO:0005924","cell-substrate adherens junction","2/59","20/2522",0.0780959735163066,0.723633145359439,0.723633145359439,"slow/kon",2
"GO:0030055","cell-substrate junction","2/59","20/2522",0.0780959735163066,0.723633145359439,0.723633145359439,"slow/kon",2
"GO:1990234","transferase complex","4/59","71/2522",0.0823170997735984,0.723633145359439,0.723633145359439,"Rchy1/temp/babo/Fbw5",4
"GO:0005740","mitochondrial envelope","3/59","46/2522",0.090922190338428,0.723633145359439,0.723633145359439,"CG5037/Tpc1/CG4743",3
"GO:0044445","cytosolic part","2/59","22/2522",0.0921945275329028,0.723633145359439,0.723633145359439,"RpS15Ab/Gyc89Db",2
"GO:0044429","mitochondrial part","5/59","106/2522",0.0993647638232228,0.723633145359439,0.723633145359439,"mRpS35/CG5037/Tpc1/mRpL32/CG4743",5
"GO:0005802","trans-Golgi network","2/59","23/2522",0.0995039635959203,0.723633145359439,0.723633145359439,"AP-1-2beta/Gorab",2
"GO:0043228","non-membrane-bounded organelle","8/59","207/2522",0.10577112667701,0.723633145359439,0.723633145359439,"RpS15Ab/mRpS35/cbs/Gorab/mRpL32/Nnf1a/Dsor1/kon",8
