"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035556","intracellular signal transduction","54/213","280/2428",2.53507819300056e-09,3.27532102535673e-06,2.857967099688e-06,"Btk29A/Rab3-GEF/Cngl/CG43658/Efa6/Sur-8/Ca-beta/Ca-alpha1D/CG42674/Dop1R2/rdgA/Lztr1/alpha-Catr/hppy/PDZ-GEF/aru/Dop2R/TyrR/Dgk/Alk/Octbeta3R/Pkcdelta/CG42788/CG34357/rut/Gprk2/C3G/Ac78C/Rgk3/sif/KP78a/d/CG43102/dop/dpp/Debcl/aPKC/Rgk1/CG43373/Rab9/sgg/krz/CG42260/RhoGAP5A/Oct-TyrR/RtGEF/Sin1/rk/Gycbeta100B/Rgk2/CG42684/Pi3K59F/RhoGAP19D/Cdep",54
"GO:0098655","cation transmembrane transport","23/213","83/2428",2.50901525774049e-07,0.000144410731149673,0.00012600936374556,"Ndae1/Trpm/Ca-beta/Ca-alpha1D/CG42594/SK/SLO2/Sh/Rgk3/Rgk1/Mid1/GlyT/CG1688/ClC-c/Rgk2/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Mvl/Shawl",23
"GO:0098662","inorganic cation transmembrane transport","21/213","72/2428",3.3531903517726e-07,0.000144410731149673,0.00012600936374556,"Ndae1/Ca-beta/Ca-alpha1D/CG42594/SK/SLO2/Sh/Rgk3/Rgk1/Mid1/CG1688/ClC-c/Rgk2/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Mvl/Shawl",21
"GO:0006812","cation transport","30/213","137/2428",1.00832911823268e-06,0.000325690305189157,0.000284189601480843,"Ndae1/Cngl/Trpm/Ca-beta/Ca-alpha1D/GluRIB/CG42594/Irk1/SK/SLO2/Hk/Sh/Rgk3/Rgk1/Mid1/GlyT/CG42260/CG1688/ClC-c/Syt12/Rgk2/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Mvl/Sytbeta/Shawl",30
"GO:0030001","metal ion transport","23/213","92/2428",1.87424849705815e-06,0.000426523421224653,0.000372174176414864,"Ndae1/Trpm/Ca-beta/Ca-alpha1D/CG42594/Irk1/SK/SLO2/Hk/Sh/Rgk3/Rgk1/Mid1/CG1688/Rgk2/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Mvl/Shawl",23
"GO:0051239","regulation of multicellular organismal process","44/213","252/2428",2.21090354009388e-06,0.000426523421224653,0.000372174176414864,"Rdl/Syn1/btsz/Dop1R2/hwt/Vang/kuz/PDZ-GEF/rst/pk/plum/wake/nwk/Alk/rut/hdc/Hk/Eps-15/Sh/tinc/sif/d/kirre/dop/sfl/dpp/aPKC/sgg/RtGEF/NetB/dlp/Arfip/Sin1/pyd/rk/TkR99D/KCNQ/Trim9/CG34401/eag/fz2/Shab/Pi3K59F/RyR",44
"GO:0098660","inorganic ion transmembrane transport","21/213","80/2428",2.3108854091119e-06,0.000426523421224653,0.000372174176414864,"Ndae1/Ca-beta/Ca-alpha1D/CG42594/SK/SLO2/Sh/Rgk3/Rgk1/Mid1/CG1688/ClC-c/Rgk2/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Mvl/Shawl",21
"GO:0019935","cyclic-nucleotide-mediated signaling","14/213","42/2428",6.03157403620241e-06,0.00097409920684669,0.000849975762206946,"Cngl/Dop1R2/Dop2R/TyrR/Octbeta3R/CG34357/rut/Gprk2/Ac78C/CG43373/CG42260/Oct-TyrR/rk/Gycbeta100B",14
"GO:0019932","second-messenger-mediated signaling","17/213","61/2428",9.39455431828157e-06,0.00134864046435775,0.00117679154092159,"Cngl/Ca-beta/Ca-alpha1D/Dop1R2/Dop2R/TyrR/Octbeta3R/CG34357/rut/Gprk2/Ac78C/CG43373/sgg/CG42260/Oct-TyrR/rk/Gycbeta100B",17
"GO:0007623","circadian rhythm","16/213","57/2428",1.57564179028381e-05,0.00185066290276971,0.00161484436114255,"na/Rdl/Dop1R2/Dh44/wake/Irk1/rut/Hk/Ac78C/Sh/sgg/Mid1/GlyT/unc79/Shab/eys",16
