"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0018193","peptidyl-amino acid modification","12/201","61/2428",0.00342666511950776,0.962405097412679,0.962405097412679,"CG8005/Rok/Naa80/Socs36E/IKKepsilon/FER/krz/CG5027/CG4945/CG32944/GABPI/rumi",12
"GO:0046854","phosphatidylinositol phosphorylation","4/201","11/2428",0.00945447990744138,0.962405097412679,0.962405097412679,"Ipp/Socs36E/Pi3K59F/Pi3K68D",4
"GO:0007041","lysosomal transport","5/201","17/2428",0.0100319982109465,0.962405097412679,0.962405097412679,"stg1/CG6903/car/lt/Mon1",5
"GO:0042052","rhabdomere development","5/201","17/2428",0.0100319982109465,0.962405097412679,0.962405097412679,"Nrk/SP2353/Ire1/prom/rumi",5
"GO:0140014","mitotic nuclear division","5/201","17/2428",0.0100319982109465,0.962405097412679,0.962405097412679,"sgg/Rok/Vhl/Dhc64C/CG34001",5
"GO:0019439","aromatic compound catabolic process","6/201","24/2428",0.0113292359975005,0.962405097412679,0.962405097412679,"ry/Faa/Drep3/Ire1/CG8665/Ge-1",6
"GO:0019725","cellular homeostasis","13/201","80/2428",0.0125918171754257,0.962405097412679,0.962405097412679,"Gba1b/Nrk/Mid1/Dark/anne/Debcl/SP2353/Ncc69/CG5027/Scox/Su(P)/Best1/MICU1",13
"GO:0045746","negative regulation of Notch signaling pathway","5/201","18/2428",0.0129755213110068,0.962405097412679,0.962405097412679,"Xxylt/krz/E(spl)m6-BFM/rumi/spdo",5
"GO:0000070","mitotic sister chromatid segregation","4/201","12/2428",0.0132771194870428,0.962405097412679,0.962405097412679,"sgg/Rok/Dhc64C/CG34001",4
"GO:0061572","actin filament bundle organization","4/201","12/2428",0.0132771194870428,0.962405097412679,0.962405097412679,"Rok/IKKepsilon/FER/f",4
"GO:1990542","mitochondrial transmembrane transport","4/201","12/2428",0.0132771194870428,0.962405097412679,0.962405097412679,"CG12379/Sfxn2/Tpc1/MICU1",4
"GO:0008593","regulation of Notch signaling pathway","7/201","32/2428",0.0135191558615599,0.962405097412679,0.962405097412679,"Gmd/Xxylt/krz/O-fut1/E(spl)m6-BFM/rumi/spdo",7
"GO:0006839","mitochondrial transport","5/201","19/2428",0.0164522635334017,0.962405097412679,0.962405097412679,"Debcl/CG12379/Sfxn2/Tpc1/MICU1",5
"GO:0044270","cellular nitrogen compound catabolic process","5/201","19/2428",0.0164522635334017,0.962405097412679,0.962405097412679,"ry/Drep3/Ire1/CG8665/Ge-1",5
"GO:0046700","heterocycle catabolic process","5/201","20/2428",0.0204978309950049,0.962405097412679,0.962405097412679,"ry/Drep3/Ire1/CG8665/Ge-1",5
"GO:0007219","Notch signaling pathway","7/201","35/2428",0.0218553003861309,0.962405097412679,0.962405097412679,"Gmd/Xxylt/krz/O-fut1/E(spl)m6-BFM/rumi/spdo",7
"GO:0000819","sister chromatid segregation","4/201","14/2428",0.0235475835669188,0.962405097412679,0.962405097412679,"sgg/Rok/Dhc64C/CG34001",4
"GO:0045747","positive regulation of Notch signaling pathway","4/201","14/2428",0.0235475835669188,0.962405097412679,0.962405097412679,"Gmd/O-fut1/rumi/spdo",4
"GO:0007034","vacuolar transport","6/201","29/2428",0.0282628099004351,0.962405097412679,0.962405097412679,"stg1/Vti1a/CG6903/car/lt/Mon1",6
"GO:1901361","organic cyclic compound catabolic process","6/201","29/2428",0.0282628099004351,0.962405097412679,0.962405097412679,"ry/Faa/Drep3/Ire1/CG8665/Ge-1",6
"GO:0044248","cellular catabolic process","25/201","206/2428",0.0289575058233885,0.962405097412679,0.962405097412679,"ry/CG8778/Sardh/CG9945/Gba1b/sgg/Dark/Socs36E/CG2818/CG6337/car/tw/Debcl/Fbw5/CG6638/Pi3K59F/Atg4b/Faa/lt/Drep3/Ide/Ire1/Cht11/CG8665/Ge-1",25
