"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022839","ion gated channel activity","24/226","79/2693",8.13235700855414e-09,8.39667042498082e-07,6.22804335319474e-07,"Cngl/Rdl/Trpm/Ca-beta/Ca-alpha1D/tty/GluRIB/Irk1/SK/jp/SLO2/Hk/Sh/CG3638/CG10353/Mid1/CG42260/ClC-c/KCNQ/eag/Ca-alpha1T/Shab/RyR/Shawl",24
"GO:0005216","ion channel activity","28/226","106/2693",1.3977331186675e-08,8.39667042498082e-07,6.22804335319474e-07,"na/Cngl/Rdl/Trpm/Ca-beta/Ca-alpha1D/tty/GluRIB/CG42594/Irk1/SK/jp/SLO2/Hk/Sh/CG3638/CG10353/Mid1/CG42260/CG1688/ClC-c/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Shawl",28
"GO:0022838","substrate-specific channel activity","28/226","106/2693",1.3977331186675e-08,8.39667042498082e-07,6.22804335319474e-07,"na/Cngl/Rdl/Trpm/Ca-beta/Ca-alpha1D/tty/GluRIB/CG42594/Irk1/SK/jp/SLO2/Hk/Sh/CG3638/CG10353/Mid1/CG42260/CG1688/ClC-c/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Shawl",28
"GO:0022836","gated channel activity","24/226","81/2693",1.41715956539761e-08,8.39667042498082e-07,6.22804335319474e-07,"Cngl/Rdl/Trpm/Ca-beta/Ca-alpha1D/tty/GluRIB/Irk1/SK/jp/SLO2/Hk/Sh/CG3638/CG10353/Mid1/CG42260/ClC-c/KCNQ/eag/Ca-alpha1T/Shab/RyR/Shawl",24
"GO:0015267","channel activity","28/226","108/2693",2.19556656535198e-08,8.67248793314031e-07,6.43262484936457e-07,"na/Cngl/Rdl/Trpm/Ca-beta/Ca-alpha1D/tty/GluRIB/CG42594/Irk1/SK/jp/SLO2/Hk/Sh/CG3638/CG10353/Mid1/CG42260/CG1688/ClC-c/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Shawl",28
"GO:0022803","passive transmembrane transporter activity","28/226","108/2693",2.19556656535198e-08,8.67248793314031e-07,6.43262484936457e-07,"na/Cngl/Rdl/Trpm/Ca-beta/Ca-alpha1D/tty/GluRIB/CG42594/Irk1/SK/jp/SLO2/Hk/Sh/CG3638/CG10353/Mid1/CG42260/CG1688/ClC-c/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Shawl",28
"GO:0005261","cation channel activity","23/226","87/2693",3.00687692366399e-07,1.01804261558338e-05,7.5511044549156e-06,"na/Cngl/Trpm/Ca-beta/Ca-alpha1D/GluRIB/CG42594/Irk1/SK/jp/SLO2/Hk/Sh/Mid1/CG42260/CG1688/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Shawl",23
"GO:0005267","potassium channel activity","12/226","32/2693",4.55071301998815e-06,0.000134814873217149,9.99959308339501e-05,"CG42594/Irk1/SK/SLO2/Hk/Sh/CG1688/KCNQ/eag/CG42340/Shab/Shawl",12
"GO:0005244","voltage-gated ion channel activity","12/226","33/2693",6.62615902767583e-06,0.000157039968955917,0.000116480900802301,"Ca-beta/Ca-alpha1D/Irk1/SLO2/Hk/Sh/ClC-c/KCNQ/eag/Ca-alpha1T/Shab/Shawl",12
"GO:0022832","voltage-gated channel activity","12/226","33/2693",6.62615902767583e-06,0.000157039968955917,0.000116480900802301,"Ca-beta/Ca-alpha1D/Irk1/SLO2/Hk/Sh/ClC-c/KCNQ/eag/Ca-alpha1T/Shab/Shawl",12
"GO:0022843","voltage-gated cation channel activity","11/226","29/2693",1.01816919338408e-05,0.000219369180756389,0.000162712206024059,"Ca-beta/Ca-alpha1D/Irk1/SLO2/Hk/Sh/KCNQ/eag/Ca-alpha1T/Shab/Shawl",11
"GO:0022890","inorganic cation transmembrane transporter activity","27/226","140/2693",2.11695280435014e-05,0.000418098178859153,0.000310115016075854,"na/Ndae1/Cngl/Trpm/Ca-beta/Ca-alpha1D/GluRIB/CG42594/Irk1/SK/jp/SLO2/Hk/Sh/Mid1/GlyT/CG42260/CG1688/ClC-c/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Mvl/Shawl",27
"GO:0046873","metal ion transmembrane transporter activity","22/226","103/2693",2.49740118089078e-05,0.000455295446054704,0.000337705260897782,"Ndae1/Trpm/Ca-beta/Ca-alpha1D/CG42594/Irk1/SK/jp/SLO2/Hk/Sh/Mid1/GlyT/CG1688/KCNQ/eag/Ca-alpha1T/CG42340/Shab/RyR/Mvl/Shawl",22
