"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031461","cullin-RING ubiquitin ligase complex","2/16","27/2522",0.012078069396486,0.422545283874508,0.414799036801706,"Cul2/KLHL18",2
"GO:0000151","ubiquitin ligase complex","2/16","33/2522",0.017770636306838,0.422545283874508,0.414799036801706,"Cul2/KLHL18",2
"GO:1902494","catalytic complex","3/16","109/2522",0.0291591740806791,0.422545283874508,0.414799036801706,"Cul2/Galphas/KLHL18",3
"GO:0019898","extrinsic component of membrane","2/16","43/2522",0.0292918120933578,0.422545283874508,0.414799036801706,"Galphas/Atg18a",2
"GO:0030425","dendrite","2/16","48/2522",0.0359231482884592,0.422545283874508,0.414799036801706,"fra/X11L",2
"GO:0097447","dendritic tree","2/16","48/2522",0.0359231482884592,0.422545283874508,0.414799036801706,"fra/X11L",2
"GO:0005604","basement membrane","1/16","10/2522",0.0617679947152741,0.422545283874508,0.414799036801706,"Galphas",1
"GO:0005776","autophagosome","1/16","10/2522",0.0617679947152741,0.422545283874508,0.414799036801706,"Atg18a",1
"GO:0005871","kinesin complex","1/16","10/2522",0.0617679947152741,0.422545283874508,0.414799036801706,"Klp68D",1
"GO:0098595","perivitelline space","1/16","10/2522",0.0617679947152741,0.422545283874508,0.414799036801706,"fra",1
"GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","1/16","11/2522",0.0677439947489349,0.422545283874508,0.414799036801706,"Galphas",1
"GO:1990234","transferase complex","2/16","71/2522",0.0727331534448745,0.422545283874508,0.414799036801706,"Cul2/KLHL18",2
"GO:0000407","phagophore assembly site","1/16","12/2522",0.0736842958576637,0.422545283874508,0.414799036801706,"Atg18a",1
"GO:0030426","growth cone","1/16","12/2522",0.0736842958576637,0.422545283874508,0.414799036801706,"fra",1
"GO:0030427","site of polarized growth","1/16","12/2522",0.0736842958576637,0.422545283874508,0.414799036801706,"fra",1
"GO:0048471","perinuclear region of cytoplasm","1/16","13/2522",0.079589097158969,0.422545283874508,0.414799036801706,"Cul2",1
"GO:0036477","somatodendritic compartment","2/16","77/2522",0.0837814769721224,0.422545283874508,0.414799036801706,"fra/X11L",2
"GO:0062023","collagen-containing extracellular matrix","1/16","14/2522",0.0854585967386646,0.422545283874508,0.414799036801706,"Galphas",1
"GO:0030173","integral component of Golgi membrane","1/16","17/2522",0.102857250634276,0.468559465487662,0.459969670437326,"meigo",1
"GO:0098805","whole membrane","2/16","88/2522",0.10529426190734,0.468559465487662,0.459969670437326,"Atg18a/Debcl",2
"GO:0031228","intrinsic component of Golgi membrane","1/16","19/2522",0.114283430217813,0.474252111375645,0.465557956761426,"meigo",1
"GO:0019005","SCF ubiquitin ligase complex","1/16","20/2522",0.119945222114143,0.474252111375645,0.465557956761426,"Cul2",1
"GO:0009898","cytoplasmic side of plasma membrane","1/16","23/2522",0.136727695268636,0.474252111375645,0.465557956761426,"Galphas",1
