"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","2/48","32/2693",0.110107124557276,0.816087295337486,0.816087295337486,"betaGlu/Ect3",2
"GO:0016798","hydrolase activity, acting on glycosyl bonds","2/48","33/2693",0.115924590268053,0.816087295337486,0.816087295337486,"betaGlu/Ect3",2
"GO:0008289","lipid binding","3/48","68/2693",0.119292044582289,0.816087295337486,0.816087295337486,"Gprk2/CG5734/Cralbp",3
"GO:0008017","microtubule binding","2/48","35/2693",0.127789190519921,0.816087295337486,0.816087295337486,"CG17778/Kebab",2
"GO:0035091","phosphatidylinositol binding","2/48","36/2693",0.133827496456467,0.816087295337486,0.816087295337486,"Gprk2/CG5734",2
"GO:0015298","solute:cation antiporter activity","1/48","10/2693",0.164856281017302,0.816087295337486,0.816087295337486,"Calx",1
"GO:0051213","dioxygenase activity","1/48","10/2693",0.164856281017302,0.816087295337486,0.816087295337486,"CG10814",1
"GO:0015631","tubulin binding","2/48","43/2693",0.177694105677487,0.816087295337486,0.816087295337486,"CG17778/Kebab",2
"GO:0016763","transferase activity, transferring pentosyl groups","1/48","11/2693",0.17979735388766,0.816087295337486,0.816087295337486,"Tnks",1
"GO:0016757","transferase activity, transferring glycosyl groups","3/48","84/2693",0.187186637093386,0.816087295337486,0.816087295337486,"CG9220/Tnks/Alg2",3
"GO:0000287","magnesium ion binding","1/48","12/2693",0.194476595876247,0.816087295337486,0.816087295337486,"nst",1
"GO:0016407","acetyltransferase activity","1/48","12/2693",0.194476595876247,0.816087295337486,0.816087295337486,"ChAT",1
"GO:0030276","clathrin binding","1/48","12/2693",0.194476595876247,0.816087295337486,0.816087295337486,"AP-1-2beta",1
"GO:0051082","unfolded protein binding","1/48","12/2693",0.194476595876247,0.816087295337486,0.816087295337486,"jdp",1
"GO:0004518","nuclease activity","1/48","13/2693",0.208898499418933,0.816087295337486,0.816087295337486,"CG18809",1
"GO:0004725","protein tyrosine phosphatase activity","1/48","13/2693",0.208898499418933,0.816087295337486,0.816087295337486,"Ptp36E",1
"GO:0015238","drug transmembrane transporter activity","1/48","14/2693",0.223067481518893,0.816087295337486,0.816087295337486,"Rift",1
"GO:0004672","protein kinase activity","3/48","92/2693",0.22435037950512,0.816087295337486,0.816087295337486,"Gprk2/Wsck/sgg",3
"GO:0000030","mannosyltransferase activity","1/48","15/2693",0.236987884985519,0.816087295337486,0.816087295337486,"Alg2",1
"GO:0008376","acetylgalactosaminyltransferase activity","1/48","15/2693",0.236987884985519,0.816087295337486,0.816087295337486,"CG9220",1
"GO:0005543","phospholipid binding","2/48","54/2693",0.250090863823821,0.816087295337486,0.816087295337486,"Gprk2/CG5734",2
"GO:0019842","vitamin binding","1/48","16/2693",0.250663979653441,0.816087295337486,0.816087295337486,"Cralbp",1
"GO:0019905","syntaxin binding","1/48","16/2693",0.250663979653441,0.816087295337486,0.816087295337486,"Vps52",1
"GO:0099516","ion antiporter activity","1/48","16/2693",0.250663979653441,0.816087295337486,0.816087295337486,"Calx",1
"GO:0008375","acetylglucosaminyltransferase activity","1/48","18/2693",0.277299964235195,0.816087295337486,0.816087295337486,"CG9220",1
"GO:0046873","metal ion transmembrane transporter activity","3/48","103/2693",0.27758936953925,0.816087295337486,0.816087295337486,"spict/Calx/ZnT77C",3
"GO:0004674","protein serine/threonine kinase activity","2/48","60/2693",0.290190026586519,0.816087295337486,0.816087295337486,"Gprk2/sgg",2
"GO:0005516","calmodulin binding","1/48","19/2693",0.290268039643311,0.816087295337486,0.816087295337486,"Ric",1
"GO:0061630","ubiquitin protein ligase activity","1/48","19/2693",0.290268039643311,0.816087295337486,0.816087295337486,"POSH",1
"GO:0061659","ubiquitin-like protein ligase activity","1/48","19/2693",0.290268039643311,0.816087295337486,0.816087295337486,"POSH",1
"GO:0008061","chitin binding","1/48","20/2693",0.303008179545001,0.816087295337486,0.816087295337486,"CG12009",1
"GO:1901981","phosphatidylinositol phosphate binding","1/48","21/2693",0.315524306511646,0.816087295337486,0.816087295337486,"Gprk2",1
