"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042995","cell projection","23/91","241/2522",7.03979402813021e-06,0.000653825166480245,0.000430148135842267,"SK/DAAM/Nrx-1/Myo10A/Syn/ena/Prosap/Fas2/eys/robo1/ATP8B/Dab/mas/dia/kek6/nAChRalpha3/prom/pyd/pico/RhoBTB/Vmat/Rab3-GEF/tau",23
"GO:0150034","distal axon","10/91","55/2522",1.74393630174739e-05,0.000653825166480245,0.000430148135842267,"DAAM/Nrx-1/Syn/ena/Prosap/Fas2/robo1/kek6/Vmat/Rab3-GEF",10
"GO:0030424","axon","14/91","107/2522",1.81433797900516e-05,0.000653825166480245,0.000430148135842267,"DAAM/Nrx-1/Syn/ena/Prosap/Fas2/robo1/Dab/mas/kek6/pyd/Vmat/Rab3-GEF/tau",14
"GO:0033267","axon part","10/91","56/2522",2.06059320011919e-05,0.000653825166480245,0.000430148135842267,"DAAM/Nrx-1/Syn/ena/Prosap/Fas2/robo1/kek6/Vmat/Rab3-GEF",10
"GO:0120025","plasma membrane bounded cell projection","22/91","240/2522",2.27022627250085e-05,0.000653825166480245,0.000430148135842267,"SK/DAAM/Nrx-1/Myo10A/Syn/ena/Prosap/Fas2/eys/robo1/ATP8B/Dab/mas/dia/kek6/nAChRalpha3/prom/pyd/pico/Vmat/Rab3-GEF/tau",22
"GO:0097458","neuron part","22/91","248/2522",3.83546789437697e-05,0.000871998706600006,0.000573683359605267,"SK/stnB/DAAM/Nrx-1/Myo10A/Syn/ena/Prosap/Eps-15/Fas2/Sytbeta/robo1/ATP8B/Dab/mas/kek6/nAChRalpha3/Exn/pyd/Vmat/Rab3-GEF/tau",22
"GO:0043195","terminal bouton","8/91","38/2522",4.23888260152781e-05,0.000871998706600006,0.000573683359605267,"Nrx-1/Syn/ena/Prosap/Fas2/kek6/Vmat/Rab3-GEF",8
"GO:0031594","neuromuscular junction","8/91","42/2522",9.08361585913809e-05,0.00156905383070659,0.00103227225704381,"Nrx-1/Prosap/Fas2/nwk/Exn/RtGEF/Vmat/Rab3-GEF",8
"GO:0043679","axon terminus","8/91","43/2522",0.000108330594566652,0.00156905383070659,0.00103227225704381,"Nrx-1/Syn/ena/Prosap/Fas2/kek6/Vmat/Rab3-GEF",8
"GO:0098793","presynapse","12/91","95/2522",0.000108962071576847,0.00156905383070659,0.00103227225704381,"stnB/Nrx-1/Syn/ena/Prosap/Eps-15/Fas2/Sytbeta/kek6/Exn/Vmat/Rab3-GEF",12
"GO:0044306","neuron projection terminus","8/91","44/2522",0.000128527097969236,0.00168253655523363,0.00110693194423265,"Nrx-1/Syn/ena/Prosap/Fas2/kek6/Vmat/Rab3-GEF",8
"GO:0044456","synapse part","14/91","129/2522",0.000151337223711259,0.00181604668453511,0.0011947675556152,"stnB/Nrx-1/Syn/ena/Prosap/Eps-15/Fas2/Sytbeta/kek6/nAChRalpha3/Exn/RtGEF/Vmat/Rab3-GEF",14
"GO:0045202","synapse","16/91","166/2522",0.000203364818175098,0.00225265644747801,0.00148201082070922,"stnB/Nrx-1/Syn/ena/Prosap/Eps-15/Fas2/Sytbeta/nwk/kek6/nAChRalpha3/Exn/RtGEF/Dys/Vmat/Rab3-GEF",16
"GO:0043005","neuron projection","17/91","190/2522",0.000313202073258751,0.00322150703923286,0.0021194125258111,"SK/DAAM/Nrx-1/Syn/ena/Prosap/Fas2/robo1/ATP8B/Dab/mas/kek6/nAChRalpha3/pyd/Vmat/Rab3-GEF/tau",17
"GO:0044463","cell projection part","14/91","146/2522",0.000563278725921907,0.00506950853329717,0.00333520298243235,"DAAM/Nrx-1/Syn/ena/Prosap/Fas2/robo1/ATP8B/kek6/prom/pico/Vmat/Rab3-GEF/tau",14
"GO:0120038","plasma membrane bounded cell projection part","14/91","146/2522",0.000563278725921907,0.00506950853329717,0.00333520298243235,"DAAM/Nrx-1/Syn/ena/Prosap/Fas2/robo1/ATP8B/kek6/prom/pico/Vmat/Rab3-GEF/tau",14
