"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007399","nervous system development","75/227","360/2428",2.21398186403798e-13,2.94459587917051e-10,2.19300729901025e-10,"CG34401/aPKC/tau/RhoGEF64C/fry/mtg/Fife/rut/wake/RasGAP1/spz3/f/sol/baz/hdc/Patronin/Pura/pyr/sas/hpo/cv-c/kuz/sdt/Wnt4/Toll-7/bib/grim/Nlg4/Nlg2/sif/Nlg3/sick/bnl/Spn/Wnt10/Sh/vn/Ptp10D/spdo/spri/tinc/Rim/ena/dlg1/18w/cno/lva/Sema1a/ths/gukh/fog/Liprin-gamma/Tollo/SP2353/stan/lute/dysc/if/PDZ-GEF/wts/Prosap/PIP5K59B/robo3/ex/Socs36E/kibra/Dscam2/scrib/LIMK1/Shc/Itp-r83A/robo2/Afti/jeb/Wnk",75
"GO:0009653","anatomical structure morphogenesis","80/227","411/2428",1.32806665931386e-12,8.83164328443717e-10,6.57742487586496e-10,"CG34401/aPKC/tau/RhoGEF64C/fry/sns/Dys/Myo10A/pyd/rut/RasGAP1/spz3/f/CG43658/m/baz/hdc/Pura/pyr/sas/hpo/cv-c/Ankle2/kuz/Efa6/sdt/exp/Wnt4/Toll-7/bib/grim/btsz/sif/sick/MYPT-75D/bnl/Sh/vn/Ptp10D/spdo/spri/RhoGAP19D/tinc/ena/dlg1/Atg9/Grip/18w/cno/lva/Sema1a/garz/ths/gukh/fog/Liprin-gamma/Tollo/SP2353/stan/dysc/if/PDZ-GEF/wts/Prosap/robo3/ex/Socs36E/kibra/Dscam2/C3G/IP3K2/scrib/LIMK1/Shc/Itp-r83A/hwt/robo2/Afti/jeb/Wnk",80
"GO:0022008","neurogenesis","61/227","290/2428",5.93311720017625e-11,2.63034862541147e-08,1.95896957381258e-08,"CG34401/aPKC/tau/RhoGEF64C/fry/rut/wake/RasGAP1/f/baz/hdc/Patronin/Pura/pyr/sas/hpo/cv-c/kuz/sdt/Wnt4/Toll-7/bib/sif/sick/bnl/Spn/Wnt10/Sh/Ptp10D/spri/tinc/Rim/ena/cno/lva/Sema1a/ths/gukh/fog/Liprin-gamma/Tollo/SP2353/stan/lute/dysc/if/PDZ-GEF/wts/Prosap/robo3/ex/Socs36E/kibra/Dscam2/scrib/LIMK1/Shc/robo2/Afti/jeb/Wnk",61
"GO:0048699","generation of neurons","57/227","271/2428",3.13588268379617e-10,1.03744266027083e-07,7.72642297835258e-08,"CG34401/aPKC/tau/RhoGEF64C/fry/rut/wake/RasGAP1/f/baz/hdc/Patronin/Pura/pyr/sas/hpo/cv-c/kuz/sdt/Wnt4/Toll-7/bib/sif/sick/Spn/Wnt10/Sh/Ptp10D/spri/tinc/Rim/ena/lva/Sema1a/gukh/fog/Liprin-gamma/Tollo/SP2353/stan/dysc/if/PDZ-GEF/wts/Prosap/robo3/ex/Socs36E/kibra/Dscam2/scrib/LIMK1/Shc/robo2/Afti/jeb/Wnk",57
"GO:0009887","animal organ morphogenesis","52/227","236/2428",3.900160376958e-10,1.03744266027083e-07,7.72642297835258e-08,"aPKC/tau/RhoGEF64C/fry/sns/Dys/pyd/RasGAP1/f/CG43658/m/baz/hdc/Pura/hpo/cv-c/kuz/Efa6/exp/Wnt4/bib/btsz/MYPT-75D/bnl/vn/spdo/RhoGAP19D/tinc/ena/dlg1/Grip/cno/fog/SP2353/stan/dysc/if/PDZ-GEF/wts/Prosap/ex/Socs36E/kibra/IP3K2/scrib/LIMK1/Shc/Itp-r83A/hwt/robo2/Afti/jeb",52
"GO:0030154","cell differentiation","74/227","417/2428",1.64731303341155e-09,3.09672291642891e-07,2.3063049183693e-07,"CG34401/mei-P26/aPKC/tau/RhoGEF64C/fry/sns/pyd/rut/wake/RasGAP1/f/m/baz/hdc/Patronin/Pura/pyr/sas/hpo/cv-c/kuz/sdt/Wnt4/Toll-7/bib/grim/sif/sick/bnl/Spn/Wnt10/Sh/vn/Ptp10D/spri/tinc/Rim/ena/dlg1/Atg9/18w/cno/lva/Sema1a/garz/ths/gukh/fog/Liprin-gamma/Tollo/SP2353/stan/lute/dysc/if/PDZ-GEF/wts/Prosap/robo3/ex/Socs36E/kibra/Dscam2/C3G/IP3K2/scrib/LIMK1/Shc/Itp-r83A/robo2/Afti/jeb/Wnk",74
"GO:0048513","animal organ development","64/227","337/2428",1.86147535887185e-09,3.09672291642891e-07,2.3063049183693e-07,"aPKC/tau/RhoGEF64C/pico/fry/sns/Dys/pyd/RasGAP1/f/X11L/CG43658/m/baz/hdc/Pura/pyr/hpo/cv-c/kuz/Efa6/exp/Wnt4/bib/btsz/sif/MYPT-75D/bnl/vn/spdo/RhoGAP19D/tinc/ena/dlg1/Grip/18w/cno/Sema1a/garz/ths/fog/SP2353/stan/dysc/if/PDZ-GEF/wts/Prosap/robo3/ex/Socs36E/kibra/C3G/IP3K2/scrib/LIMK1/Shc/Itp-r83A/Nckx30C/hwt/robo2/Afti/jeb/Wnk",64
"GO:0030182","neuron differentiation","53/227","253/2428",1.86269047604747e-09,3.09672291642891e-07,2.3063049183693e-07,"CG34401/tau/RhoGEF64C/fry/rut/RasGAP1/f/baz/hdc/Patronin/Pura/sas/hpo/cv-c/kuz/sdt/Wnt4/Toll-7/bib/sif/sick/Spn/Wnt10/Sh/Ptp10D/spri/tinc/Rim/ena/lva/Sema1a/gukh/fog/Liprin-gamma/Tollo/SP2353/stan/dysc/if/PDZ-GEF/wts/Prosap/robo3/ex/Socs36E/Dscam2/scrib/LIMK1/Shc/robo2/Afti/jeb/Wnk",53
"GO:0000902","cell morphogenesis","46/227","204/2428",2.30034371651695e-09,3.39939682551949e-07,2.53172331841222e-07,"CG34401/aPKC/tau/RhoGEF64C/fry/pyd/rut/m/baz/hdc/Pura/sas/cv-c/Ankle2/kuz/Wnt4/Toll-7/sif/sick/bnl/Sh/Ptp10D/spri/ena/cno/lva/Sema1a/garz/ths/gukh/fog/Liprin-gamma/stan/dysc/if/PDZ-GEF/wts/Prosap/robo3/Dscam2/scrib/LIMK1/Shc/robo2/jeb/Wnk",46
"GO:0048869","cellular developmental process","75/227","430/2428",2.83047844364084e-09,3.76453633004231e-07,2.80366338470108e-07,"CG34401/mei-P26/aPKC/tau/RhoGEF64C/fry/sns/pyd/rut/wake/RasGAP1/f/m/baz/hdc/Patronin/Pura/pyr/sas/hpo/cv-c/Ankle2/kuz/sdt/Wnt4/Toll-7/bib/grim/sif/sick/bnl/Spn/Wnt10/Sh/vn/Ptp10D/spri/tinc/Rim/ena/dlg1/Atg9/18w/cno/lva/Sema1a/garz/ths/gukh/fog/Liprin-gamma/Tollo/SP2353/stan/lute/dysc/if/PDZ-GEF/wts/Prosap/robo3/ex/Socs36E/kibra/Dscam2/C3G/IP3K2/scrib/LIMK1/Shc/Itp-r83A/robo2/Afti/jeb/Wnk",75
