"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006493","protein O-linked glycosylation","7/219","19/2428",0.000865747420338318,0.911218334011146,0.911218334011146,"Pgant3/rumi/O-fut1/CG34056/nac/Xxylt/CG15651",7
"GO:0006486","protein glycosylation","11/219","48/2428",0.0028037487200343,0.911218334011146,0.911218334011146,"Pgant3/Alg14/rumi/O-fut1/CG34056/CG9384/nac/botv/Alg11/Xxylt/CG15651",11
"GO:0043413","macromolecule glycosylation","11/219","48/2428",0.0028037487200343,0.911218334011146,0.911218334011146,"Pgant3/Alg14/rumi/O-fut1/CG34056/CG9384/nac/botv/Alg11/Xxylt/CG15651",11
"GO:0070085","glycosylation","11/219","48/2428",0.0028037487200343,0.911218334011146,0.911218334011146,"Pgant3/Alg14/rumi/O-fut1/CG34056/CG9384/nac/botv/Alg11/Xxylt/CG15651",11
"GO:0045747","positive regulation of Notch signaling pathway","5/219","14/2428",0.00579363854300274,0.995320055819487,0.995320055819487,"hbs/rumi/O-fut1/pyd/Usp10",5
"GO:0008593","regulation of Notch signaling pathway","8/219","32/2428",0.00602081344856274,0.995320055819487,0.995320055819487,"hbs/rumi/O-fut1/Eps-15/pyd/Usp10/Xxylt/uif",8
"GO:0048814","regulation of dendrite morphogenesis","4/219","10/2428",0.00874539586993555,0.995320055819487,0.995320055819487,"lva/CadN/wts/Lrrk",4
"GO:0051294","establishment of spindle orientation","4/219","10/2428",0.00874539586993555,0.995320055819487,0.995320055819487,"aPKC/cno/Slik/wake",4
"GO:0009101","glycoprotein biosynthetic process","12/219","63/2428",0.00900066666723212,0.995320055819487,0.995320055819487,"Pgant3/Alg14/rumi/O-fut1/CG34056/CG9384/sll/nac/botv/Alg11/Xxylt/CG15651",12
"GO:0007219","Notch signaling pathway","8/219","35/2428",0.0106362457950311,0.995320055819487,0.995320055819487,"hbs/rumi/O-fut1/Eps-15/pyd/Usp10/Xxylt/uif",8
"GO:0009100","glycoprotein metabolic process","13/219","75/2428",0.0146999389749858,0.995320055819487,0.995320055819487,"Pgant3/Alg14/rumi/O-fut1/CG34056/CG9384/sll/nac/botv/Alg11/Edem1/Xxylt/CG15651",13
"GO:1903047","mitotic cell cycle process","10/219","53/2428",0.0176825703500801,0.995320055819487,0.995320055819487,"aPKC/cno/rho/Slik/wake/Ankle2/sti/wts/p115/CG15602",10
"GO:0097352","autophagosome maturation","4/219","12/2428",0.0178455857258377,0.995320055819487,0.995320055819487,"Vps16A/cac/Vha100-1/lt",4
"GO:0045746","negative regulation of Notch signaling pathway","5/219","18/2428",0.0183919720956932,0.995320055819487,0.995320055819487,"rumi/Eps-15/pyd/Xxylt/uif",5
"GO:0040001","establishment of mitotic spindle localization","4/219","13/2428",0.0239924605825529,0.995320055819487,0.995320055819487,"aPKC/cno/Slik/wake",4
"GO:0051293","establishment of spindle localization","4/219","14/2428",0.031271989398373,0.995320055819487,0.995320055819487,"aPKC/cno/Slik/wake",4
"GO:0051653","spindle localization","4/219","14/2428",0.031271989398373,0.995320055819487,0.995320055819487,"aPKC/cno/Slik/wake",4
"GO:0016485","protein processing","5/219","21/2428",0.0349833368209687,0.995320055819487,0.995320055819487,"CG4678/CG46339/Tasp1/rho/CalpB",5
"GO:0018209","peptidyl-serine modification","4/219","15/2428",0.0397116811255643,0.995320055819487,0.995320055819487,"rumi/aPKC/wts/Lrrk",4
"GO:0044772","mitotic cell cycle phase transition","4/219","15/2428",0.0397116811255643,0.995320055819487,0.995320055819487,"Slik/wts/p115/CG15602",4
"GO:0090087","regulation of peptide transport","5/219","22/2428",0.0420596887523672,0.995320055819487,0.995320055819487,"Abl/rho/wts/Glut1/Flo2",5
"GO:0051604","protein maturation","6/219","30/2428",0.0474124184361143,0.995320055819487,0.995320055819487,"CG4678/CG46339/Tasp1/rho/CG13623/CalpB",6
"GO:0044770","cell cycle phase transition","4/219","16/2428",0.0493213176860524,0.995320055819487,0.995320055819487,"Slik/wts/p115/CG15602",4
"GO:0010646","regulation of cell communication","38/219","326/2428",0.0495411444479377,0.995320055819487,0.995320055819487,"hbs/Spred/rumi/Cdep/cv-2/O-fut1/Eps-15/cac/ave/CG10188/pyd/cno/Atg18a/botv/Fbxl4/Sap47/Rlip/Mp/rdgA/spartin/rho/RhoGEF64C/Gycbeta100B/wts/Usp10/Glut1/Xxylt/Sdr/CG30456/Ptp4E/Ilp3/CG42684/Flo2/uif/Dab/TkR99D/Sur-8/comt",38
"GO:0001763","morphogenesis of a branching structure","5/219","23/2428",0.049939295188586,0.995320055819487,0.995320055819487,"aPKC/Vha100-1/pyd/Slik/Ptp4E",5
"GO:0048754","branching morphogenesis of an epithelial tube","5/219","23/2428",0.049939295188586,0.995320055819487,0.995320055819487,"aPKC/Vha100-1/pyd/Slik/Ptp4E",5
"GO:0060446","branching involved in open tracheal system development","5/219","23/2428",0.049939295188586,0.995320055819487,0.995320055819487,"aPKC/Vha100-1/pyd/Slik/Ptp4E",5
"GO:0061138","morphogenesis of a branching epithelium","5/219","23/2428",0.049939295188586,0.995320055819487,0.995320055819487,"aPKC/Vha100-1/pyd/Slik/Ptp4E",5
