"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004601","peroxidase activity","4/253","10/2693",0.0101260376669825,0.620502612724499,0.614739430562971,"GstT1/cysu/CG33178/GstT2",4
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","4/253","10/2693",0.0101260376669825,0.620502612724499,0.614739430562971,"GstT1/cysu/CG33178/GstT2",4
"GO:0016409","palmitoyltransferase activity","5/253","16/2693",0.0129190944440297,0.620502612724499,0.614739430562971,"CG5880/app/Hip14/CG1407/lace",5
"GO:0019706","protein-cysteine S-palmitoyltransferase activity","4/253","11/2693",0.0147560816475281,0.620502612724499,0.614739430562971,"CG5880/app/Hip14/CG1407",4
"GO:0019707","protein-cysteine S-acyltransferase activity","4/253","11/2693",0.0147560816475281,0.620502612724499,0.614739430562971,"CG5880/app/Hip14/CG1407",4
"GO:0050839","cell adhesion molecule binding","6/253","23/2693",0.0166018030054122,0.620502612724499,0.614739430562971,"ck/Nrg/ds/stan/Hakai/ft",6
"GO:0003777","microtubule motor activity","4/253","12/2693",0.020531336450443,0.620502612724499,0.614739430562971,"sw/unc-104/CG14535/Klp68D",4
"GO:0016209","antioxidant activity","4/253","12/2693",0.020531336450443,0.620502612724499,0.614739430562971,"GstT1/cysu/CG33178/GstT2",4
"GO:0016417","S-acyltransferase activity","4/253","12/2693",0.020531336450443,0.620502612724499,0.614739430562971,"CG5880/app/Hip14/CG1407",4
"GO:0003774","motor activity","5/253","19/2693",0.0272414644642923,0.74096783342875,0.734085779248298,"sw/ck/unc-104/CG14535/Klp68D",5
"GO:0070851","growth factor receptor binding","4/253","14/2693",0.0357535217865614,0.811601134020047,0.804063042991997,"grk/PVRAP/kek1/dlg1",4
"GO:0008236","serine-type peptidase activity","9/253","50/2693",0.0400454356922152,0.811601134020047,0.804063042991997,"Corin/CG17684/ea/CG30289/CG33460/CG3589/CG32523/psh/spirit",9
"GO:0017171","serine hydrolase activity","9/253","50/2693",0.0400454356922152,0.811601134020047,0.804063042991997,"Corin/CG17684/ea/CG30289/CG33460/CG3589/CG32523/psh/spirit",9
"GO:0016787","hydrolase activity","52/253","443/2693",0.0417735877804436,0.811601134020047,0.804063042991997,"Nep7/SppL/Corin/sw/CG14291/CG5188/CG11883/Faa/CG17684/PGAP1/ea/PIG-L/ck/Oga/mRpL46/CG30289/Rab32/CG16965/Ids/CG9663/CG1764/CG5830/CG15385/CG4789/Nepl11/GatA/Mesh1/RhoGAPp190/CG18302/bw/CG33460/PGRP-LF/unc-104/alpha-Est9/ttm50/CG3589/anne/Ppt2/CG14535/CG16717/Mipp2/CG8353/rdgC/beta-Man/CG18809/CG18528/CG14015/Klp68D/Rap2l/CG32523/psh/spirit",52
