"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070925","organelle assembly","2/10","64/2428",0.0268600009800971,0.384947036356839,0.384947036356839,"Atg4a/IFT43",2
"GO:0009225","nucleotide-sugar metabolic process","1/10","10/2428",0.0405048902086728,0.384947036356839,0.384947036356839,"Ugt35A1",1
"GO:0045333","cellular respiration","1/10","10/2428",0.0405048902086728,0.384947036356839,0.384947036356839,"CG5037",1
"GO:0031503","protein-containing complex localization","1/10","12/2428",0.0484263849160739,0.384947036356839,0.384947036356839,"IFT43",1
"GO:0060271","cilium assembly","1/10","14/2428",0.0562889718080151,0.384947036356839,0.384947036356839,"IFT43",1
"GO:0000045","autophagosome assembly","1/10","16/2428",0.0640930405979282,0.384947036356839,0.384947036356839,"Atg4a",1
"GO:0007601","visual perception","1/10","16/2428",0.0640930405979282,0.384947036356839,0.384947036356839,"trp",1
"GO:0016056","rhodopsin mediated signaling pathway","1/10","16/2428",0.0640930405979282,0.384947036356839,0.384947036356839,"trp",1
"GO:0044782","cilium organization","1/10","16/2428",0.0640930405979282,0.384947036356839,0.384947036356839,"IFT43",1
"GO:0006909","phagocytosis","1/10","17/2428",0.0679732518723983,0.384947036356839,0.384947036356839,"Pxn",1
"GO:0036293","response to decreased oxygen levels","1/10","17/2428",0.0679732518723983,0.384947036356839,0.384947036356839,"trp",1
"GO:0070482","response to oxygen levels","1/10","17/2428",0.0679732518723983,0.384947036356839,0.384947036356839,"trp",1
"GO:1905037","autophagosome organization","1/10","17/2428",0.0679732518723983,0.384947036356839,0.384947036356839,"Atg4a",1
"GO:0007603","phototransduction, visible light","1/10","19/2428",0.0756902692860882,0.384947036356839,0.384947036356839,"trp",1
"GO:0050953","sensory perception of light stimulus","1/10","19/2428",0.0756902692860882,0.384947036356839,0.384947036356839,"trp",1
"GO:0015980","energy derivation by oxidation of organic compounds","1/10","20/2428",0.0795271714476234,0.384947036356839,0.384947036356839,"CG5037",1
"GO:0030198","extracellular matrix organization","1/10","20/2428",0.0795271714476234,0.384947036356839,0.384947036356839,"Pxn",1
"GO:0050906","detection of stimulus involved in sensory perception","1/10","20/2428",0.0795271714476234,0.384947036356839,0.384947036356839,"trp",1
"GO:0051480","regulation of cytosolic calcium ion concentration","1/10","20/2428",0.0795271714476234,0.384947036356839,0.384947036356839,"trp",1
"GO:0008355","olfactory learning","1/10","22/2428",0.0871580016901099,0.384947036356839,0.384947036356839,"trp",1
"GO:0001894","tissue homeostasis","1/10","24/2428",0.0947318502182792,0.384947036356839,0.384947036356839,"trp",1
"GO:0007605","sensory perception of sound","1/10","24/2428",0.0947318502182792,0.384947036356839,0.384947036356839,"trp",1
"GO:0009584","detection of visible light","1/10","24/2428",0.0947318502182792,0.384947036356839,0.384947036356839,"trp",1
"GO:0043062","extracellular structure organization","1/10","24/2428",0.0947318502182792,0.384947036356839,0.384947036356839,"Pxn",1
