"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007399","nervous system development","73/208","360/2428",1.35233879962935e-14,1.84188544509517e-11,1.36515043036268e-11,"hid/CG34401/bnl/Mkk4/comm/vn/sdt/RhoGEF64C/Rim/jeb/Syn/CG32564/gukh/Wnt5/stan/pyr/Pura/beat-Ia/ckn/spz3/CG42797/spas/baz/ena/DCTN1-p150/Ten-a/haf/Raf/sol/stl/plum/Wnt10/Nlg4/GluRIIA/hdc/rho/mbc/bdg/Liprin-gamma/Spn/Nlg3/Ank2/Ptp4E/RhoGAP93B/loco/Sh/Octbeta2R/cv-c/f/lute/if/ft/frtz/stumps/pk/wake/ths/eys/Dg/Nrx-1/PsGEF/CG44153/moody/trio/RasGAP1/Reph/ksr/InR/Apc/Hs3st-B/lva/Fitm/ana1",73
"GO:0009653","anatomical structure morphogenesis","76/208","411/2428",6.34398873511224e-13,3.96981924342056e-10,2.94231134897621e-10,"hid/CG34401/bnl/5-HT2A/comm/vn/kirre/sdt/hwt/RhoGEF64C/GEFmeso/jeb/CG32564/gukh/sqa/pyd/Wnt5/stan/pyr/Pura/beat-Ia/ckn/spz3/CG42797/spas/Grip/baz/POSH/ena/DCTN1-p150/amx/smog/Ten-a/haf/Raf/RhoGAP54D/stl/CG30456/Ack-like/Efa6/Btk29A/CG43658/hdc/rho/l(3)psg2/mbc/bdg/Liprin-gamma/dop/Ank2/Ptp4E/RhoGAP93B/loco/Sh/cv-c/f/Asap/if/ft/frtz/stumps/pk/btsz/ths/eys/Dg/CG44153/trio/RasGAP1/ksr/InR/Apc/Ankle2/RhoGAP19D/Hs3st-B/lva",76
"GO:0022008","neurogenesis","61/208","290/2428",8.74409524982502e-13,3.96981924342056e-10,2.94231134897621e-10,"hid/CG34401/bnl/Mkk4/comm/sdt/RhoGEF64C/Rim/jeb/CG32564/gukh/Wnt5/stan/pyr/Pura/beat-Ia/ckn/CG42797/spas/baz/ena/DCTN1-p150/Ten-a/haf/Raf/stl/plum/Wnt10/hdc/rho/bdg/Liprin-gamma/Spn/Ank2/Ptp4E/RhoGAP93B/loco/Sh/cv-c/f/lute/if/ft/frtz/stumps/pk/wake/ths/eys/Dg/CG44153/moody/trio/RasGAP1/ksr/InR/Apc/Hs3st-B/lva/Fitm/ana1",61
"GO:0048729","tissue morphogenesis","46/208","187/2428",3.6240621457547e-12,1.23399316062947e-09,9.14598841520724e-10,"hid/bnl/vn/sdt/hwt/RhoGEF64C/GEFmeso/jeb/sqa/pyd/stan/pyr/Pura/baz/POSH/ena/DCTN1-p150/smog/Raf/RhoGAP54D/CG30456/Ack-like/Btk29A/CG43658/hdc/rho/l(3)psg2/mbc/bdg/Ptp4E/loco/cv-c/f/if/ft/frtz/stumps/pk/btsz/ths/Dg/trio/RasGAP1/ksr/RhoGAP19D/Hs3st-B",46
"GO:0030154","cell differentiation","75/208","417/2428",4.56058352063088e-12,1.24230295101985e-09,9.20757809744214e-10,"hid/CG34401/bnl/Mkk4/comm/vn/kirre/sdt/RhoGEF64C/Rim/mei-P26/jeb/CG32564/CG8155/gukh/pyd/Wnt5/stan/pyr/Pura/beat-Ia/ckn/CG42797/spas/baz/ena/DCTN1-p150/amx/smog/Ten-a/haf/Raf/stl/plum/Wnt10/Btk29A/hdc/Sara/rho/l(3)psg2/mbc/bdg/Liprin-gamma/Spn/dop/Ank2/Ptp4E/RhoGAP93B/loco/Sh/cv-c/f/lute/Ddr/if/ft/frtz/stumps/pk/wake/ths/eys/Dg/CG44153/moody/trio/RasGAP1/ksr/InR/Apc/Hs3st-B/lva/mib1/Fitm/ana1",75
"GO:0048869","cellular developmental process","76/208","430/2428",7.88968660502826e-12,1.79095885934141e-09,1.32740516740739e-09,"hid/CG34401/bnl/Mkk4/comm/vn/kirre/sdt/RhoGEF64C/Rim/mei-P26/jeb/CG32564/CG8155/gukh/pyd/Wnt5/stan/pyr/Pura/beat-Ia/ckn/CG42797/spas/baz/ena/DCTN1-p150/amx/smog/Ten-a/haf/Raf/stl/plum/Wnt10/Btk29A/hdc/Sara/rho/l(3)psg2/mbc/bdg/Liprin-gamma/Spn/dop/Ank2/Ptp4E/RhoGAP93B/loco/Sh/cv-c/f/lute/Ddr/if/ft/frtz/stumps/pk/wake/ths/eys/Dg/CG44153/moody/trio/RasGAP1/ksr/InR/Apc/Ankle2/Hs3st-B/lva/mib1/Fitm/ana1",76
"GO:0048518","positive regulation of biological process","65/208","342/2428",1.80588663777461e-11,3.51373942949859e-09,2.60427862500128e-09,"hid/bnl/Mkk4/5-HT2A/comm/vn/sdt/RhoGEF64C/jeb/sqa/pyd/Wnt5/stan/pyr/Pura/CG10188/CG4238/Usp10/CG42797/spas/ena/DCTN1-p150/CG43102/RtGEF/amx/smog/Ten-a/CG4325/Raf/CG30456/Efa6/GluRIIA/hppy/CG43658/rho/l(3)psg2/mbc/Rab3-GEF/pico/Ank2/Sh/Octbeta2R/cv-c/Asap/Ddr/ft/pk/Dop1R2/wake/btsz/Nrx-1/PsGEF/trio/RasGAP1/PVRAP/ksr/InR/Apc/S2P/Fs/Ankle2/Shab/Oamb/lva/mib1",65
"GO:0048699","generation of neurons","56/208","271/2428",2.28670746910254e-11,3.89311946614708e-09,2.88546376693334e-09,"hid/CG34401/Mkk4/comm/sdt/RhoGEF64C/Rim/jeb/CG32564/gukh/Wnt5/stan/pyr/Pura/beat-Ia/ckn/CG42797/spas/baz/ena/DCTN1-p150/Ten-a/haf/Raf/stl/plum/Wnt10/hdc/rho/bdg/Liprin-gamma/Spn/Ank2/Ptp4E/RhoGAP93B/loco/Sh/cv-c/f/if/ft/frtz/pk/wake/eys/Dg/CG44153/trio/RasGAP1/ksr/InR/Apc/Hs3st-B/lva/Fitm/ana1",56
"GO:0009888","tissue development","55/208","271/2428",7.85973126246983e-11,1.18943933105377e-08,8.81576874936675e-09,"hid/bnl/vn/kirre/sdt/hwt/RhoGEF64C/GEFmeso/jeb/CG8155/sqa/pyd/stan/pyr/Pura/baz/POSH/ena/DCTN1-p150/amx/smog/Raf/RhoGAP54D/stl/CG30456/Ack-like/Btk29A/CG43658/hdc/rho/l(3)psg2/mbc/bdg/dop/pico/Ptp4E/loco/cv-c/f/if/ft/frtz/stumps/pk/btsz/ths/Dg/trio/RasGAP1/ksr/InR/Apc/RhoGAP19D/CG30069/Hs3st-B",55
"GO:0002009","morphogenesis of an epithelium","42/208","180/2428",2.44484704271312e-10,3.32988167217527e-08,2.46800875153883e-08,"hid/bnl/vn/sdt/hwt/RhoGEF64C/GEFmeso/sqa/pyd/stan/Pura/baz/POSH/ena/DCTN1-p150/smog/Raf/RhoGAP54D/CG30456/Ack-like/Btk29A/CG43658/hdc/rho/l(3)psg2/mbc/bdg/Ptp4E/loco/cv-c/f/if/ft/frtz/pk/btsz/Dg/trio/RasGAP1/ksr/RhoGAP19D/Hs3st-B",42
"GO:0048522","positive regulation of cellular process","55/208","293/2428",1.90314521691607e-09,2.29194769518764e-07,1.69872311591695e-07,"hid/bnl/Mkk4/comm/vn/sdt/RhoGEF64C/jeb/sqa/pyd/Wnt5/stan/pyr/Pura/CG10188/Usp10/spas/ena/DCTN1-p150/CG43102/RtGEF/amx/smog/CG4325/Raf/CG30456/Efa6/GluRIIA/hppy/CG43658/rho/l(3)psg2/mbc/Rab3-GEF/pico/Ank2/Octbeta2R/cv-c/Ddr/ft/pk/Dop1R2/Nrx-1/PsGEF/trio/RasGAP1/PVRAP/ksr/InR/S2P/Fs/Ankle2/Oamb/lva/mib1",55
"GO:0030182","neuron differentiation","50/208","253/2428",2.01933717637678e-09,2.29194769518764e-07,1.69872311591695e-07,"hid/CG34401/Mkk4/comm/sdt/RhoGEF64C/Rim/jeb/CG32564/gukh/Wnt5/stan/Pura/beat-Ia/ckn/CG42797/spas/baz/ena/DCTN1-p150/Ten-a/haf/Raf/plum/Wnt10/hdc/rho/bdg/Liprin-gamma/Spn/Ank2/Ptp4E/RhoGAP93B/Sh/cv-c/f/if/ft/frtz/pk/eys/Dg/CG44153/trio/RasGAP1/ksr/InR/lva/Fitm/ana1",50
"GO:0030030","cell projection organization","45/208","217/2428",3.18808781405662e-09,3.34013507903471e-07,2.47560827018648e-07,"hid/CG34401/bnl/comm/vn/RhoGEF64C/jeb/CG32564/gukh/Wnt5/stan/Pura/beat-Ia/ckn/CG42797/spas/baz/ena/DCTN1-p150/Ten-a/haf/hdc/rho/Liprin-gamma/Spn/Ank2/Ptp4E/RhoGAP93B/Sh/cv-c/f/if/ft/frtz/pk/ths/Dg/PsGEF/CG44153/trio/mtm/InR/lva/Fitm/ana1",45
"GO:0060429","epithelium development","49/208","250/2428",4.14794985269347e-09,4.03536264240607e-07,2.99089015694213e-07,"hid/bnl/vn/sdt/hwt/RhoGEF64C/GEFmeso/CG8155/sqa/pyd/stan/Pura/baz/POSH/ena/DCTN1-p150/smog/Raf/RhoGAP54D/stl/CG30456/Ack-like/Btk29A/CG43658/hdc/rho/l(3)psg2/mbc/bdg/dop/pico/Ptp4E/loco/cv-c/f/if/ft/frtz/pk/btsz/Dg/trio/RasGAP1/ksr/InR/Apc/RhoGAP19D/CG30069/Hs3st-B",49
"GO:0000902","cell morphogenesis","43/208","204/2428",4.55326841448179e-09,4.13436772034947e-07,3.06426976104424e-07,"hid/CG34401/bnl/comm/RhoGEF64C/jeb/CG32564/gukh/pyd/Wnt5/stan/Pura/beat-Ia/ckn/CG42797/spas/baz/ena/DCTN1-p150/smog/Ten-a/haf/stl/hdc/rho/mbc/Liprin-gamma/Ank2/Ptp4E/RhoGAP93B/Sh/cv-c/if/ft/pk/ths/eys/Dg/CG44153/trio/InR/Ankle2/lva",43
"GO:0048513","animal organ development","59/208","337/2428",7.11184751946431e-09,6.053960200944e-07,4.48701432313571e-07,"hid/bnl/vn/kirre/hwt/RhoGEF64C/GEFmeso/jeb/sqa/pyd/Wnt5/stan/pyr/Pura/beat-Ia/spas/Grip/baz/ena/DCTN1-p150/Ten-a/Raf/RhoGAP54D/stl/CG30456/Efa6/Btk29A/CG43658/hdc/rho/l(3)psg2/mbc/bdg/dop/pico/loco/cv-c/f/Asap/if/ft/frtz/stumps/pk/btsz/ths/eys/Dg/PsGEF/moody/trio/RasGAP1/ksr/InR/Apc/RhoGAP19D/CG30069/Hs3st-B/mib1",59
"GO:0048584","positive regulation of response to stimulus","37/208","166/2428",1.36286632407412e-08,1.09189643140527e-06,8.09280993676214e-07,"hid/bnl/Mkk4/vn/RhoGEF64C/jeb/sqa/pyd/Wnt5/stan/Pura/CG10188/Usp10/spas/CG43102/RtGEF/amx/smog/CG4325/Raf/CG30456/Efa6/hppy/CG43658/rho/mbc/Rab3-GEF/ft/pk/Dop1R2/PsGEF/trio/PVRAP/ksr/InR/Fs/mib1",37
