"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007052","mitotic spindle organization","1/3","12/2428",0.014759909303138,0.127067827244414,0.0885913764793587,"Wdr62",1
"GO:0016241","regulation of macroautophagy","1/3","15/2428",0.0184270526913297,0.127067827244414,0.0885913764793587,"Aduk",1
"GO:0030148","sphingolipid biosynthetic process","1/3","15/2428",0.0184270526913297,0.127067827244414,0.0885913764793587,"beta4GalNAcTA",1
"GO:0000045","autophagosome assembly","1/3","16/2428",0.0196474086142164,0.127067827244414,0.0885913764793587,"Aduk",1
"GO:0010508","positive regulation of autophagy","1/3","16/2428",0.0196474086142164,0.127067827244414,0.0885913764793587,"Aduk",1
"GO:1905037","autophagosome organization","1/3","17/2428",0.0208667526333534,0.127067827244414,0.0885913764793587,"Aduk",1
"GO:0046777","protein autophosphorylation","1/3","18/2428",0.0220850851684425,0.127067827244414,0.0885913764793587,"Aduk",1
"GO:0006665","sphingolipid metabolic process","1/3","21/2428",0.0257340180664548,0.127067827244414,0.0885913764793587,"beta4GalNAcTA",1
"GO:0007346","regulation of mitotic cell cycle","1/3","22/2428",0.0269483088623836,0.127067827244414,0.0885913764793587,"Wdr62",1
"GO:0009247","glycolipid biosynthetic process","1/3","22/2428",0.0269483088623836,0.127067827244414,0.0885913764793587,"beta4GalNAcTA",1
"GO:0031331","positive regulation of cellular catabolic process","1/3","22/2428",0.0269483088623836,0.127067827244414,0.0885913764793587,"Aduk",1
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","1/3","22/2428",0.0269483088623836,0.127067827244414,0.0885913764793587,"Wdr62",1
"GO:0010638","positive regulation of organelle organization","1/3","24/2428",0.0293738627173458,0.127067827244414,0.0885913764793587,"Aduk",1
"GO:0006664","glycolipid metabolic process","1/3","25/2428",0.0305851266157849,0.127067827244414,0.0885913764793587,"beta4GalNAcTA",1
"GO:0007033","vacuole organization","1/3","25/2428",0.0305851266157849,0.127067827244414,0.0885913764793587,"Aduk",1
"GO:1903509","liposaccharide metabolic process","1/3","25/2428",0.0305851266157849,0.127067827244414,0.0885913764793587,"beta4GalNAcTA",1
"GO:0007051","spindle organization","1/3","26/2428",0.0317953823878003,0.127067827244414,0.0885913764793587,"Wdr62",1
"GO:1901071","glucosamine-containing compound metabolic process","1/3","26/2428",0.0317953823878003,0.127067827244414,0.0885913764793587,"beta4GalNAcTA",1
"GO:0006040","amino sugar metabolic process","1/3","27/2428",0.0330046304530944,0.127067827244414,0.0885913764793587,"beta4GalNAcTA",1
"GO:0009896","positive regulation of catabolic process","1/3","27/2428",0.0330046304530944,0.127067827244414,0.0885913764793587,"Aduk",1
"GO:0008344","adult locomotory behavior","1/3","29/2428",0.0354201051423312,0.129873718855214,0.0905476372059594,"beta4GalNAcTA",1
"GO:0046467","membrane lipid biosynthetic process","1/3","31/2428",0.0378315540411187,0.132410439143915,0.0923162323491414,"beta4GalNAcTA",1
"GO:0010506","regulation of autophagy","1/3","36/2428",0.043842585489276,0.144029521597888,0.100417028045007,"Aduk",1
"GO:0006643","membrane lipid metabolic process","1/3","38/2428",0.0462399705627754,0.144029521597888,0.100417028045007,"beta4GalNAcTA",1
"GO:0016236","macroautophagy","1/3","40/2428",0.0486333449551309,0.144029521597888,0.100417028045007,"Aduk",1
"GO:0044089","positive regulation of cellular component biogenesis","1/3","40/2428",0.0486333449551309,0.144029521597888,0.100417028045007,"Aduk",1
"GO:0051726","regulation of cell cycle","1/3","42/2428",0.0510227120239662,0.145509215772052,0.101448667182155,"Wdr62",1
"GO:0006996","organelle organization","2/3","356/2428",0.0580810508429147,0.159722889818015,0.111358405751453,"Aduk/Wdr62",2
"GO:0031329","regulation of cellular catabolic process","1/3","50/2428",0.0605401742165683,0.160744600506061,0.112070739929038,"Aduk",1
"GO:1903047","mitotic cell cycle process","1/3","53/2428",0.064092750038424,0.162749987610789,0.113468890883804,"Wdr62",1
"GO:0009894","regulation of catabolic process","1/3","56/2428",0.0676363584876007,0.162749987610789,0.113468890883804,"Aduk",1
"GO:0030534","adult behavior","1/3","56/2428",0.0676363584876007,0.162749987610789,0.113468890883804,"beta4GalNAcTA",1
"GO:0006914","autophagy","1/3","62/2428",0.0746967185958323,0.169166097996444,0.117942187256577,"Aduk",1
"GO:0061919","process utilizing autophagic mechanism","1/3","62/2428",0.0746967185958323,0.169166097996444,0.117942187256577,"Aduk",1
"GO:0070925","organelle assembly","1/3","64/2428",0.0770422267090853,0.169492898759988,0.118170031944762,"Aduk",1
"GO:0007626","locomotory behavior","1/3","66/2428",0.0793837677902982,0.169793058884805,0.118379302845182,"beta4GalNAcTA",1
